img,sigma,k,h,a,mu,lam,dtheta,dt,iters,psnr,ssim,score,log_path
man.tiff,10,0.2,0.12,0.08,5.0,1.0,2.0,0.05,10,31.1020915721872,0.8457340212999284,0.8508711929061687,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.08,5.0,1.2,2.0,0.05,10,31.055768502251023,0.8450301350937325,0.8408917251053782,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.08,5.0,1.0,2.0,0.05,12,30.961905120227897,0.8437774938910724,0.8207920958672925,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.08,5.0,1.2,2.0,0.05,12,30.933254684727082,0.8433797880495622,0.8146462269651858,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.08,5.0,1.2,2.0,0.05,14,30.776721499113812,0.8405884751774846,0.7806350457198824,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.1,5.0,1.0,2.0,0.05,6,31.101605001671416,0.8416402139247794,0.8479058803840662,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.1,5.0,1.2,2.0,0.05,6,31.031984427714654,0.840552017290583,0.832886175731225,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.1,5.0,1.0,2.0,0.05,8,31.17905935035126,0.8462758308729356,0.8670130995776559,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.1,5.0,1.2,2.0,0.05,8,31.118587745982566,0.8454162655376279,0.8540271028947786,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.1,5.0,1.0,2.0,0.05,10,31.11318289657836,0.8467142855967277,0.8538288291282261,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.1,5.0,1.2,2.0,0.05,10,31.06813670929875,0.8461439355739458,0.8442043362349996,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.1,5.0,1.0,2.0,0.05,12,30.974769773895495,0.8449848971528336,0.824271898883292,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.1,5.0,1.2,2.0,0.05,12,30.94728850846805,0.8447177080777222,0.8184568322649979,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.1,5.0,1.0,2.0,0.05,14,30.80181484511211,0.84209997574619,0.7868320956845257,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.12,5.0,1.0,2.0,0.05,6,31.120161538666192,0.8429902418448614,0.8526511916699777,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.12,5.0,1.2,2.0,0.05,6,31.05150779299401,0.8420061910040366,0.8379023909705183,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.12,5.0,1.0,2.0,0.05,8,31.204084896431006,0.8481860330150284,0.8734753555383494,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.12,5.0,1.2,2.0,0.05,8,31.14418912657275,0.8474163754519833,0.8606702225029896,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.12,5.0,1.0,2.0,0.05,10,31.142851516064844,0.8491087352884377,0.8615809380302073,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.12,5.0,1.2,2.0,0.05,10,31.097833882091955,0.8485911261990975,0.8519992113736842,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.12,5.0,1.0,2.0,0.05,12,31.007564972660326,0.8477899141118581,0.8329517136441802,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.12,5.0,1.2,2.0,0.05,12,30.979551815475187,0.8475260789103819,0.8270300658001574,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.12,5.0,1.0,2.0,0.05,14,30.836599486778276,0.8452497833531085,0.796160692474162,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.12,5.0,1.2,2.0,0.05,14,30.825753927925934,0.8452299211757001,0.7939256693653278,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.08,5.0,1.0,2.0,0.05,6,31.110947765017094,0.8408660776481326,0.8492773391037738,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.08,5.0,1.2,2.0,0.05,6,31.05956762738085,0.8399085839431173,0.8380846823077144,results/sweeps/man_sigma10\metrics.jsonl
